filename,artist,chroma,mode,instrument,mode_val,mode_valsum,pcd0,pcd1,pcd2,pcd3,pcd4,pcd5,pcd6,pcd7,pcd8,pcd9,pcd10,pcd11,krum0maj,krum1maj,krum2maj,krum3maj,krum4maj,krum5maj,krum6maj,krum7maj,krum8maj,krum9maj,krum10maj,krum11maj,krum0min,krum1min,krum2min,krum3min,krum4min,krum5min,krum6min,krum7min,krum8min,krum9min,krum10min,krum11min
01_Bach_Prelude_0_Major_P1.mid,midi,0,Major,M,0.2,0.001,0.315,0.0,0.214,0.0,0.173,0.024,0.012,0.071,0.0,0.048,0.0,0.143,0.729,-0.606,0.244,-0.29,0.037,0.284,-0.515,0.583,-0.256,0.058,-0.093,-0.175,0.378,-0.183,0.238,-0.501,0.498,-0.12,-0.271,-0.004,-0.311,0.529,-0.516,0.262
02_Bach_Prelude_0_Minor_P1.mid,midi,0,Minor,M,-0.082,-0.0,0.125,0.0,0.086,0.109,0.07,0.125,0.055,0.203,0.109,0.047,0.062,0.008,0.584,-0.218,-0.127,0.534,-0.509,0.359,-0.547,0.386,0.27,-0.56,0.339,-0.51,0.666,-0.517,0.128,-0.167,0.179,0.413,-0.546,0.613,-0.166,0.054,-0.259,-0.397
03_Bach_Prelude_1_Major_P1.mid,midi,1,Major,M,0.265,0.0,0.039,0.392,0.0,0.137,0.0,0.157,0.108,0.0,0.098,0.0,0.069,0.0,-0.446,0.903,-0.43,-0.009,-0.14,-0.171,0.567,-0.582,0.418,-0.075,-0.084,0.05,-0.149,0.545,-0.213,0.252,-0.554,0.364,0.217,-0.353,0.049,-0.479,0.638,-0.316
04_Bach_Prelude_1_Minor_P1.mid,midi,1,Minor,M,-0.234,-0.0,0.073,0.163,0.0,0.117,0.177,0.0,0.117,0.0,0.253,0.06,0.005,0.035,-0.312,0.511,-0.306,-0.112,0.583,-0.592,0.257,-0.473,0.532,0.236,-0.648,0.324,-0.115,0.817,-0.604,0.077,-0.026,0.159,0.223,-0.65,0.612,-0.111,-0.077,-0.305
05_Bach_Prelude_2_Major_P1.mid,midi,2,Major,M,-0.001,0.001,0.0,0.117,0.176,0.027,0.117,0.0,0.185,0.054,0.054,0.162,0.009,0.099,-0.26,-0.161,0.833,-0.698,0.377,-0.439,0.217,0.234,-0.597,0.778,-0.528,0.245,-0.665,0.302,0.153,-0.112,0.183,-0.689,0.834,-0.225,-0.137,0.097,-0.364,0.623
06_Bach_Prelude_2_Minor_P1.mid,midi,2,Minor,M,-0.148,-0.003,0.122,0.008,0.208,0.016,0.066,0.138,0.024,0.145,0.017,0.11,0.128,0.018,0.542,-0.493,0.424,0.055,-0.566,0.703,-0.622,0.515,-0.344,-0.086,0.634,-0.764,0.178,-0.638,0.851,-0.459,0.045,0.053,-0.274,0.669,-0.717,0.351,-0.075,0.017
07_Bach_Prelude_3_Major_P1.mid,midi,3,Major,M,0.206,0.001,0.145,0.029,0.087,0.268,0.0,0.087,0.0,0.076,0.103,0.039,0.166,0.0,-0.043,0.045,-0.466,0.93,-0.565,0.152,-0.156,-0.248,0.631,-0.591,0.599,-0.288,0.724,-0.356,-0.019,0.474,-0.416,0.265,-0.612,0.408,0.075,-0.232,0.248,-0.56
08_Bach_Prelude_3_Minor_P1.mid,midi,3,Minor,M,-0.31,-0.001,0.0,0.045,0.033,0.243,0.009,0.039,0.176,0.054,0.123,0.0,0.141,0.137,-0.671,0.209,-0.298,0.546,-0.047,-0.556,0.61,-0.388,0.315,-0.425,0.075,0.63,0.09,-0.144,-0.552,0.94,-0.293,-0.176,-0.014,0.026,0.575,-0.724,0.192,0.081
09_Bach_Prelude_4_Major_P1.mid,midi,4,Major,M,0.255,0.0,0.0,0.058,0.045,0.122,0.255,0.007,0.172,0.026,0.075,0.034,0.086,0.12,-0.326,-0.124,0.014,-0.197,0.726,-0.619,0.311,-0.176,-0.245,0.308,-0.354,0.682,-0.44,0.399,-0.428,0.343,0.471,-0.449,0.203,-0.352,0.399,-0.199,-0.191,0.244
10_Bach_Prelude_4_Minor_P1.mid,midi,4,Minor,M,-0.181,-0.002,0.109,0.0,0.058,0.017,0.167,0.003,0.181,0.164,0.0,0.167,0.0,0.133,0.447,-0.641,0.519,-0.486,0.372,-0.107,-0.148,0.583,-0.704,0.438,-0.472,0.198,-0.162,-0.072,-0.12,-0.302,0.764,-0.578,0.36,0.026,-0.229,0.484,-0.611,0.441
