name,artist,performance,chroma,mode,onsets,length,onsetrate
Bach_WTC1_De-Maria_Prelude_0_Major (P1).wav,De-Maria,P1,0,Major,152,29.7369160997732,5.11149170579793
Bach_WTC1_De-Maria_Prelude_0_Major (S1).wav,De-Maria,S1,0,Major,137,29.63,4.62369220384745
Bach_WTC1_De-Maria_Prelude_0_Minor (P1).wav,De-Maria,P1,0,Minor,133,18.0459863945578,7.37005986218128
Bach_WTC1_De-Maria_Prelude_0_Minor (S1).wav,De-Maria,S1,0,Minor,135,18.0439909297052,7.48171513308367
Bach_WTC1_De-Maria_Prelude_10_Major (P1).wav,De-Maria,P1,10,Major,160,25.6471201814059,6.238517185099
Bach_WTC1_De-Maria_Prelude_10_Major (S1).wav,De-Maria,S1,10,Major,191,25.6439909297052,7.44813865063224
Bach_WTC1_De-Maria_Prelude_10_Minor (P1).wav,De-Maria,P1,10,Minor,106,51.0060770975057,2.07818373872128
Bach_WTC1_De-Maria_Prelude_10_Minor (S1).wav,De-Maria,S1,10,Minor,108,51.0039909297052,2.11748135844601
Bach_WTC1_De-Maria_Prelude_11_Major (P1).wav,De-Maria,P1,11,Major,131,25.7500907029478,5.08736072083052
Bach_WTC1_De-Maria_Prelude_11_Major (S1).wav,De-Maria,S1,11,Major,161,25.7419954648526,6.25437139167493
Bach_WTC1_De-Maria_Prelude_11_Minor (P1).wav,De-Maria,P1,11,Minor,76,24.5610430839002,3.09433112186583
Bach_WTC1_De-Maria_Prelude_11_Minor (S1).wav,De-Maria,S1,11,Minor,92,24.56,3.74592833876222
Bach_WTC1_De-Maria_Prelude_1_Major (P1).wav,De-Maria,P1,1,Major,36,8.13301587301587,4.42640227955814
Bach_WTC1_De-Maria_Prelude_1_Major (S1).wav,De-Maria,S1,1,Major,56,8.13,6.88806888068881
Bach_WTC1_De-Maria_Prelude_1_Minor (P1).wav,De-Maria,P1,1,Minor,90,30.545306122449,2.94644288844941
Bach_WTC1_De-Maria_Prelude_1_Minor (S1).wav,De-Maria,S1,1,Minor,91,30.54,2.97969875573019
Bach_WTC1_De-Maria_Prelude_2_Major (P1).wav,De-Maria,P1,2,Major,112,16.7840362811791,6.6730075009187
Bach_WTC1_De-Maria_Prelude_2_Major (S1).wav,De-Maria,S1,2,Major,124,16.7790022675737,7.39018911986421
Bach_WTC1_De-Maria_Prelude_2_Minor (P1).wav,De-Maria,P1,2,Minor,119,26.2461224489796,4.53400307917205
