,filename,mirmode_essentia-cqt,mirmode_essentia-sftf,mirmode_MIRtoolbox-std,mirmode_MIRtoolbox-dir,mirmode_librosa-cqt,mirmode_librosa-stft,mirmode_librosa-cens,mirmode_librosa-vqt
0,audio/Bach_1_NA_0_Major_flatMIDI.wav,-0.019100086,0.018691696,0.025160623,0.025160623,0.303895405,0.225285398,0.32279404,0.007467037
0,audio/Bach_1_NA_0_minor_flatMIDI.wav,0.019550296,0.047455598,0.076911598,0.076911598,-0.074799015,0.044604659,-0.110390151,0.021267088
0,audio/Bach_1_NA_10_Major_flatMIDI.wav,0.017933347,-0.010722063,-0.031615827,-0.031615828,0.07271274,-0.045629943,0.078140755,0.067706543
0,audio/Bach_1_NA_10_minor_flatMIDI.wav,-0.070260208,-0.034997186,-0.120925644,-0.120925644,-0.203399725,-0.177317328,-0.257481472,-0.112829611
0,audio/Bach_1_NA_11_Major_flatMIDI.wav,-0.201298124,-0.19723272,-0.163467039,-0.163467039,-0.146297614,-0.123901909,-0.130187746,-0.199509686
0,audio/Bach_1_NA_11_minor_flatMIDI.wav,0.096035738,0.212325501,0.250721828,0.250721827,0.129162271,0.003075316,0.117505245,0.171639548
0,audio/Bach_1_NA_1_Major_flatMIDI.wav,0.110422693,0.180475223,0.234572654,0.234572653,0.250811649,0.248588755,0.268960477,0.13367106
0,audio/Bach_1_NA_1_minor_flatMIDI.wav,-0.156216442,-0.018824707,-0.084674126,-0.084674127,-0.137085695,-0.176261352,-0.098746035,-0.123416009
0,audio/Bach_1_NA_2_Major_flatMIDI.wav,0.13781264,0.353740923,0.338773199,0.338773198,0.21439312,0.105034548,0.151848644,0.180367306
0,audio/Bach_1_NA_2_minor_flatMIDI.wav,-0.045387191,-0.07588908,0.119458062,0.119458061,-0.080223104,-0.177687363,-0.107822542,-0.059416823
0,audio/Bach_1_NA_3_Major_flatMIDI.wav,0.20567703,0.316622037,0.242883966,0.242883965,0.232971354,0.216118563,0.227310544,0.21777367
0,audio/Bach_1_NA_3_minor_flatMIDI.wav,0.017200304,-0.227124006,-0.203613256,-0.203613256,-0.227011925,-0.097911874,-0.189304595,-0.054151099
0,audio/Bach_1_NA_4_Major_flatMIDI.wav,0.025036413,0.276972765,0.219624621,0.21962462,0.272439108,0.179836743,0.263545882,0.035135192
0,audio/Bach_1_NA_4_minor_flatMIDI.wav,-0.080868645,-0.136124879,0.024382123,0.024382123,0.016493374,8.43E-05,0.034717231,-0.041757351
0,audio/Bach_1_NA_5_Major_flatMIDI.wav,-0.136987519,-0.151140486,-0.150148675,-0.150148676,-0.140015863,-0.261405623,-0.114432803,-0.119841876
0,audio/Bach_1_NA_5_minor_flatMIDI.wav,0.051409405,0.162800389,0.012089938,0.012089938,0.045923993,0.007898859,0.02616261,0.059353482
0,audio/Bach_1_NA_6_Major_flatMIDI.wav,0.044209676,0.099479354,0.224970558,0.224970558,0.185949806,0.009548181,0.192997459,0.168929928
0,audio/Bach_1_NA_6_minor_flatMIDI.wav,0.041811235,0.144491072,0.211158275,0.211158274,0.030760555,-0.007701279,0.011366785,0.060383309
0,audio/Bach_1_NA_7_Major_flatMIDI.wav,0.044123743,0.140309548,0.274264662,0.274264663,0.293537695,0.146483897,0.289531592,0.07440225
0,audio/Bach_1_NA_7_minor_flatMIDI.wav,-0.130997586,-0.003971273,0.032262512,0.032262511,-0.062928903,-0.101876475,-0.048659632,-0.101102478
0,audio/Bach_1_NA_8_Major_flatMIDI.wav,0.10094875,0.147470285,0.260472357,0.260472358,0.344401328,0.278329022,0.379176004,0.044843275
0,audio/Bach_1_NA_8_minor_flatMIDI.wav,-0.029540443,-0.078744605,0.117507234,0.117507233,0.029632345,-0.118435347,0.090765649,0.013758934
0,audio/Bach_1_NA_9_Major_flatMIDI.wav,0.158670473,0.289789812,0.291870839,0.291870838,0.173646834,0.070936835,0.162285694,0.22434509
0,audio/Bach_1_NA_9_minor_flatMIDI.wav,-0.056438986,-0.290237216,-0.243210306,-0.243210305,-0.272403428,-0.240699751,-0.294705192,-0.132096482
