,filename,onsets_essentia-hfc,onsets_essentia-complex,onsets_essentia-phase,onsets_essentia-flux,onsets_essentia-melflux,onsets_essentia-rms,onsets_MIRtoolbox-std,onsets_librosa-std
0,audio/Bach_1_NA_0_Major_flatMIDI.wav,128,128,139,128,204,156,129,128
0,audio/Bach_1_NA_0_minor_flatMIDI.wav,126,128,120,128,128,139,137,128
0,audio/Bach_1_NA_10_Major_flatMIDI.wav,127,128,144,128,149,180,152,128
0,audio/Bach_1_NA_10_minor_flatMIDI.wav,88,91,162,103,186,139,88,88
0,audio/Bach_1_NA_11_Major_flatMIDI.wav,116,128,150,129,168,160,135,123
0,audio/Bach_1_NA_11_minor_flatMIDI.wav,66,67,89,74,113,97,74,66
0,audio/Bach_1_NA_1_Major_flatMIDI.wav,34,48,29,48,49,54,46,48
0,audio/Bach_1_NA_1_minor_flatMIDI.wav,78,78,94,82,100,101,82,78
0,audio/Bach_1_NA_2_Major_flatMIDI.wav,84,127,85,126,128,132,121,128
0,audio/Bach_1_NA_2_minor_flatMIDI.wav,122,125,138,125,145,142,126,125
0,audio/Bach_1_NA_3_Major_flatMIDI.wav,125,126,153,126,175,149,140,126
0,audio/Bach_1_NA_3_minor_flatMIDI.wav,51,50,69,55,107,111,50,50
0,audio/Bach_1_NA_4_Major_flatMIDI.wav,96,97,113,100,139,112,102,97
0,audio/Bach_1_NA_4_minor_flatMIDI.wav,124,128,157,128,172,145,141,128
0,audio/Bach_1_NA_5_Major_flatMIDI.wav,140,192,181,187,194,212,191,185
0,audio/Bach_1_NA_5_minor_flatMIDI.wav,124,127,184,131,211,190,137,126
0,audio/Bach_1_NA_6_Major_flatMIDI.wav,94,96,123,97,132,113,104,96
0,audio/Bach_1_NA_6_minor_flatMIDI.wav,103,126,115,126,132,149,124,119
0,audio/Bach_1_NA_7_Major_flatMIDI.wav,189,192,213,194,265,244,200,192
0,audio/Bach_1_NA_7_minor_flatMIDI.wav,127,130,160,133,228,192,135,128
0,audio/Bach_1_NA_8_Major_flatMIDI.wav,56,56,69,57,81,67,57,56
0,audio/Bach_1_NA_8_minor_flatMIDI.wav,87,90,107,91,140,118,91,90
0,audio/Bach_1_NA_9_Major_flatMIDI.wav,102,124,122,125,144,133,127,125
0,audio/Bach_1_NA_9_minor_flatMIDI.wav,87,108,98,108,122,117,107,108
0,audio/bachAshk2006/Bach_1_Ashkenazy_0_Major_bachAshk2006.wav,104,128,166,135,187,212,167,134
0,audio/bachAshk2006/Bach_1_Ashkenazy_0_minor_bachAshk2006.wav,62,98,92,102,125,135,118,131
0,audio/bachAshk2006/Bach_1_Ashkenazy_10_Major_bachAshk2006.wav,95,134,141,132,200,193,158,184
0,audio/bachAshk2006/Bach_1_Ashkenazy_10_minor_bachAshk2006.wav,88,91,168,107,216,164,102,88
0,audio/bachAshk2006/Bach_1_Ashkenazy_11_Major_bachAshk2006.wav,61,105,91,109,123,142,109,118
0,audio/bachAshk2006/Bach_1_Ashkenazy_11_minor_bachAshk2006.wav,52,67,100,76,118,112,83,67
0,audio/bachAshk2006/Bach_1_Ashkenazy_1_Major_bachAshk2006.wav,30,40,39,40,44,45,36,48
0,audio/bachAshk2006/Bach_1_Ashkenazy_1_minor_bachAshk2006.wav,85,94,132,106,167,204,132,91
0,audio/bachAshk2006/Bach_1_Ashkenazy_2_Major_bachAshk2006.wav,60,92,88,89,116,112,90,127
0,audio/bachAshk2006/Bach_1_Ashkenazy_2_minor_bachAshk2006.wav,87,109,145,105,179,159,131,165
0,audio/bachAshk2006/Bach_1_Ashkenazy_3_Major_bachAshk2006.wav,100,138,122,139,165,189,138,146
0,audio/bachAshk2006/Bach_1_Ashkenazy_3_minor_bachAshk2006.wav,68,84,96,112,218,192,84,91
0,audio/bachAshk2006/Bach_1_Ashkenazy_4_Major_bachAshk2006.wav,85,100,132,113,141,165,130,108
0,audio/bachAshk2006/Bach_1_Ashkenazy_4_minor_bachAshk2006.wav,102,145,197,149,192,255,193,144
0,audio/bachAshk2006/Bach_1_Ashkenazy_5_Major_bachAshk2006.wav,100,138,143,141,183,209,176,115
0,audio/bachAshk2006/Bach_1_Ashkenazy_5_minor_bachAshk2006.wav,126,139,220,155,234,310,166,152
0,audio/bachAshk2006/Bach_1_Ashkenazy_6_Major_bachAshk2006.wav,84,98,116,102,119,135,104,100
0,audio/bachAshk2006/Bach_1_Ashkenazy_6_minor_bachAshk2006.wav,86,115,114,111,136,155,123,118
0,audio/bachAshk2006/Bach_1_Ashkenazy_7_Major_bachAshk2006.wav,73,117,130,111,178,163,141,143
0,audio/bachAshk2006/Bach_1_Ashkenazy_7_minor_bachAshk2006.wav,143,167,213,181,250,250,198,166
0,audio/bachAshk2006/Bach_1_Ashkenazy_8_Major_bachAshk2006.wav,53,56,56,58,86,62,54,57
0,audio/bachAshk2006/Bach_1_Ashkenazy_8_minor_bachAshk2006.wav,83,93,116,101,145,156,112,91
0,audio/bachAshk2006/Bach_1_Ashkenazy_9_Major_bachAshk2006.wav,91,123,125,124,152,175,122,127
0,audio/bachAshk2006/Bach_1_Ashkenazy_9_minor_bachAshk2006.wav,73,91,83,94,130,111,87,107
0,audio/bachAshk2006Deadpan/Bach_1_Ashkenazy_0_Major_bachAshk2006Deadpan.wav,110,129,139,134,206,179,148,128
0,audio/bachAshk2006Deadpan/Bach_1_Ashkenazy_0_minor_bachAshk2006Deadpan.wav,79,128,109,129,132,149,126,128
0,audio/bachAshk2006Deadpan/Bach_1_Ashkenazy_10_Major_bachAshk2006Deadpan.wav,67,170,150,155,230,216,187,241
0,audio/bachAshk2006Deadpan/Bach_1_Ashkenazy_10_minor_bachAshk2006Deadpan.wav,88,89,150,103,226,155,92,88
0,audio/bachAshk2006Deadpan/Bach_1_Ashkenazy_11_Major_bachAshk2006Deadpan.wav,74,118,100,116,126,143,131,126
0,audio/bachAshk2006Deadpan/Bach_1_Ashkenazy_11_minor_bachAshk2006Deadpan.wav,65,67,139,71,131,115,88,66
0,audio/bachAshk2006Deadpan/Bach_1_Ashkenazy_1_Major_bachAshk2006Deadpan.wav,22,33,32,33,46,48,45,44
0,audio/bachAshk2006Deadpan/Bach_1_Ashkenazy_1_minor_bachAshk2006Deadpan.wav,78,79,110,81,155,116,88,78
0,audio/bachAshk2006Deadpan/Bach_1_Ashkenazy_2_Major_bachAshk2006Deadpan.wav,61,107,94,104,122,128,107,125
0,audio/bachAshk2006Deadpan/Bach_1_Ashkenazy_2_minor_bachAshk2006Deadpan.wav,91,143,136,146,172,186,167,173
0,audio/bachAshk2006Deadpan/Bach_1_Ashkenazy_3_Major_bachAshk2006Deadpan.wav,111,141,148,140,157,188,159,143
0,audio/bachAshk2006Deadpan/Bach_1_Ashkenazy_3_minor_bachAshk2006Deadpan.wav,51,51,87,72,144,157,89,51
0,audio/bachAshk2006Deadpan/Bach_1_Ashkenazy_4_Major_bachAshk2006Deadpan.wav,96,98,122,101,142,140,123,97
0,audio/bachAshk2006Deadpan/Bach_1_Ashkenazy_4_minor_bachAshk2006Deadpan.wav,130,141,204,140,177,226,164,141
0,audio/bachAshk2006Deadpan/Bach_1_Ashkenazy_5_Major_bachAshk2006Deadpan.wav,97,163,158,163,185,195,187,190
0,audio/bachAshk2006Deadpan/Bach_1_Ashkenazy_5_minor_bachAshk2006Deadpan.wav,131,132,225,134,255,270,167,131
0,audio/bachAshk2006Deadpan/Bach_1_Ashkenazy_6_Major_bachAshk2006Deadpan.wav,87,98,112,98,114,127,110,97
0,audio/bachAshk2006Deadpan/Bach_1_Ashkenazy_6_minor_bachAshk2006Deadpan.wav,82,125,121,124,135,148,126,125
0,audio/bachAshk2006Deadpan/Bach_1_Ashkenazy_7_Major_bachAshk2006Deadpan.wav,81,150,132,145,184,182,165,183
0,audio/bachAshk2006Deadpan/Bach_1_Ashkenazy_7_minor_bachAshk2006Deadpan.wav,132,150,207,154,225,244,194,149
0,audio/bachAshk2006Deadpan/Bach_1_Ashkenazy_8_Major_bachAshk2006Deadpan.wav,44,56,60,57,69,73,56,57
0,audio/bachAshk2006Deadpan/Bach_1_Ashkenazy_8_minor_bachAshk2006Deadpan.wav,86,90,116,97,140,159,107,90
0,audio/bachAshk2006Deadpan/Bach_1_Ashkenazy_9_Major_bachAshk2006Deadpan.wav,102,126,135,127,142,154,145,124
