PieceID,Piece,Demus_Piano,Fischer_Piano,Gould_Piano,Gulda_Piano,Martins_Piano,Richter_Piano,Tureck_Piano,Galling_Harpsichord,Hamilton_Harpsichord,Kirkpatrick_Harpsichord,Landowska_Harpsichord,Leonhardt_Harpsichord,Newman_Harpsichord
M0,Prelude_1,69,96,60,69,72,72,52,63,58,80,60,84,84
M0,Fugue_1,48,69,58,36,44,46,44,60,63,58,66,58,69
m0,Prelude_2,120,132,80,63,132,132,108,66,120,104,112,96,80
m0,M.28_2,144,144,N/A,132,144,144,144,132,120,144,126,112,144
m0,M.34_2,44,42,N/A,40,33,N/A,N/A,48,N/A,N/A,112,36,26
m0,M.35_2,N/A,120,N/A,112,112,132,N/A,63,104,N/A,46,96,78
m0,Fugue_2,69,72,88,60,88,84,69,66,76,80,72,66,84
M1,Prelude_3,88,80,104,88,104,88,84,72,84,92,92,66,96
M1,Fugue_3,100,92,104,96,96,104,84,84,84,104,96,66,100
m1,Prelude_4,92,84,96,132,92,78,72,88,76,96,N/A,84,108
m1,Fugue_4,46,46,69,56,36,36,46,60,42,63,40,52,60
M2,Prelude_5,132,132,160,132,144,144,108,112,132,120,120,96,132
M2,Fugue_5,60,60,69,54,60,60,48,63,60,63,63,56,68
m2,Prelude_6,72,80,88,84,76,72,80,66,72,84,72,60,84
m2,Fugue_6,52,63,84,60,84,56,48,69,72,72,76,60,90
M3,Prelude_7,69,80,34.5,84,56,88,54,75,56,112,50,63,59
M3,M.10_7,72,63,60,72,50,66,66,76,58,96,72,60,84
M3,M.25_7,72,84,88,80,48,84,60,76,52,104,48,60,72
M3,Fugue_7,90,92,92,92,84,104,76,88,76,96,88,60,92
m3,Prelude_8,72,80,72,60,52,58,50,72,92,80,92,96,69
m3,Fugue_8,69,60,72,60,69,56,58,66,48,84,52,52,84
M4,Prelude_9,144,96,63,72,63,96,60,69,69,72,66,66,84
M4,Fugue_9,100,96,112,112,104,104,84,80,80,104,84,72,96
m4,Prelude_10,42,63,46,56,38,69,40,50,40,76,44,66,54
m4,M.23_10,132,132,92,120,N/A,120,120,112,104,144,104,92,116
m4,Fugue_10,96,104,132,120,112,102,69,80,80,84,104,92,116
M5,Prelude_11,72,96,80,80,76,80,69,54,66,84,63,48,66
M5,Fugue_11,58,58,60,63,54,60,58,48,60,60,60,44,60
m5,Prelude_12,56,60,20,56,33,46,44,46,40,48,40,44,42
m5,Fugue_12,56,52,72,44,40,46,54,56,46,48,40,48,66
M6,Prelude_13,72,120,56,72,69,92,69,88,84,104,84,80,96
M6,Fugue_13,56,72,66,60,52,66,69,63,69,88,80,56,84
m6,Prelude_14,96,112,104,112,120,120,76,80,80,80,80,56,88
m6,Fugue_14,72,63,63,58,80,56,66,72,50,80,54,84,112
M7,Prelude_15,88,96,104,88,104,88,84,80,80,88,72,66,90
M7,Fugue_15,66,138,76,69,66,76,60,58,58,58,58,58,63
m7,Prelude_16,78,72,72,108,80,92,84,88,66,63,80,96,84
m7,Fugue_16,69,69,63,52,52,52,50,72,56,80,34.5,54,92
M8,Prelude_17,80,88,96,88,112,112,88,84,104,84,84,80,96
M8,Fugue_17,60,56,95,48,66,50,63,58,44,69,46,59,50
m8,Prelude_18,112,112,120,112,96,132,88,96,112,120,112,100,160
m8,Fugue_18,54,52,92,31.5,66,48,48,58,60,63,60,52,84
M9,Prelude_19,96,88,96,120,76,84,66,80,72,75,63,60,80
M9,Fugue_19,56,88,69,96,53,63,54,88,72,80,58,76,79
m9,Prelude_20,80,92,72,76,104,92,72,63,72,56,63,80,76
m9,Fugue_20,63,84,104,80,56,84,72,58,72,80,78,69,82
M10,Prelude_21,76,96,88,84,84,88,80,72,76,72,69,72,76
M10,Fugue_21,96,96,104,112,76,96,69,84,72,84,80,76,88
m10,Prelude_22,59,60,42,60,69,84,56,80,76,84,66,88,72
m10,Fugue_22,44,46,34.5,48,48,36,46,56,46,60,38,54,66
M11,Prelude_23,66,66,84,76,92,96,63,63,63,76,42,54,69
M11,Fugue_23,54,52,84,40,63,54,60,60,66,84,63,52,74
m11,Prelude_24,72,66,84,44,69,52,69,69,40,84,69,96,132
m11,Fugue_24,100,92,160,76,60,76,84,72,54,112,66,84,80
