Composer,Set,mode,chroma,pieceID,pieceNumber,keyName
Bach,1,Major,0,M0,1,C
Bach,1,Minor,0,m0,2,C
Bach,1,Major,1,M1,3,C#
Bach,1,Minor,1,m1,4,C#
Bach,1,Major,2,M2,5,D
Bach,1,Minor,2,m2,6,D
Bach,1,Major,3,M3,7,Eb
Bach,1,Minor,3,m3,8,Eb
Bach,1,Major,4,M4,9,E
Bach,1,Minor,4,m4,10,E
Bach,1,Major,5,M5,11,F
Bach,1,Minor,5,m5,12,F
Bach,1,Major,6,M6,13,F#
Bach,1,Minor,6,m6,14,F#
Bach,1,Major,7,M7,15,G
Bach,1,Minor,7,m7,16,G
Bach,1,Major,8,M8,17,Ab
Bach,1,Minor,8,m8,18,G#
Bach,1,Major,9,M9,19,A
Bach,1,Minor,9,m9,20,A
Bach,1,Major,10,M10,21,Bb
Bach,1,Minor,10,m10,22,Bb
Bach,1,Major,11,M11,23,B
Bach,1,Minor,11,m11,24,B
