composer,set,setCode,pieceNumber,compSet,keyName,mode,keyChroma,pieceID,snippitName,,pieceTitle,excerptID,pickUpLength,notes
Alkan,1,alkan-1,1,alkan1.1,C,Major,0,M0,alkan1.0maj,,,101,,
Alkan,1,alkan-1,2,alkan1.2,F,minor,5,m5,alkan1.5min,,,102,,
Alkan,1,alkan-1,3,alkan1.3,Db,Major,1,M1,alkan1.1maj,,dans le genre ancien,103,,
Alkan,1,alkan-1,4,alkan1.4,F#,minor,6,m6,alkan1.6min,,,104,,
Alkan,1,alkan-1,5,alkan1.5,D,Major,2,M2,alkan1.2maj,,,105,0.33,
Alkan,1,alkan-1,6,alkan1.6,G,minor,7,m7,alkan1.7min,,Prière du Soir,106,,
Alkan,1,alkan-1,7,alkan1.7,Eb,Major,3,M3,alkan1.3maj,,Psaume 150,107,0.5,
Alkan,1,alkan-1,8,alkan1.8,Ab,minor,8,m8,alkan1.8min,,Ancienne melodie de la synagogue,108,,
Alkan,1,alkan-1,9,alkan1.9,E,Major,4,M4,alkan1.4maj,,Un petit rein,109,0.25,
Alkan,1,alkan-1,10,alkan1.10,A,minor,9,m9,alkan1.9min,,Placiditas,110,,
Alkan,1,alkan-1,11,alkan1.11,F,Major,5,M5,alkan1.5maj,,Dans le style Fugue,111,,
Alkan,1,alkan-1,12,alkan1.12,Bb,minor,10,m10,alkan1.10min,,J’etais endormie maid mon coeur veillait,112,0.25,
Alkan,1,alkan-1,13,alkan1.13,Gb,Major,6,M6,alkan1.6maj,,,113,,
Alkan,1,alkan-1,14,alkan1.14,B,minor,11,m11,alkan1.11min,,Le temps qui n'est plus,114,0.5,
Alkan,1,alkan-1,15,alkan1.15,G,Major,7,M7,alkan1.7maj,,Rêve d'amour,115,0.5,
Alkan,1,alkan-1,16,alkan1.16,C,minor,0,m0,alkan1.0min,,Danse le genre gothique,116,,
Alkan,1,alkan-1,17,alkan1.17,Ab,Major,8,M8,alkan1.8maj,,,117,0.5,
Alkan,1,alkan-1,18,alkan1.18,C#,minor,1,m1,alkan1.1min,,,118,,
Alkan,1,alkan-1,19,alkan1.19,D,Major,2,M2,alkan1.2maj,,,119,,
Alkan,1,alkan-1,20,alkan1.20,A,minor,9,m9,alkan1.9min,,Prière du matin,120,,
Alkan,1,alkan-1,21,alkan1.21,Bb,Major,10,M10,alkan1.10maj,,Wiegenlied,121,,
Alkan,1,alkan-1,22,alkan1.22,Eb,minor,3,m3,alkan1.3min,,Anniversaire (Zum Neujahr),122,0.25,
Alkan,1,alkan-1,23,alkan1.23,B,Major,11,M11,alkan1.11maj,,,123,0.25,
Alkan,1,alkan-1,24,alkan1.24,E,minor,4,m4,alkan1.4min,,,124,,
Alkan,1,alkan-1,25,alkan1.25,C,Major,0,M0,alkan1.0maj,,Priere Gebet,125,,
Bach,1,bach-1,1,bach1.1,C,Major,0,M0,bach1.0maj,,preludium I,127,,
Bach,1,bach-1,2,bach1.2,C,minor,0,m0,bach1.0min,,preludium II,128,,
Bach,1,bach-1,3,bach1.3,C#,Major,1,M1,bach1.1maj,,preludium III,129,,
Bach,1,bach-1,4,bach1.4,C#,minor,1,m1,bach1.1min,,preludium IV,130,,
Bach,1,bach-1,5,bach1.5,D,Major,2,M2,bach1.2maj,,preludium V,131,,
Bach,1,bach-1,6,bach1.6,D,minor,2,m2,bach1.2min,,preludium VI,132,,
Bach,1,bach-1,7,bach1.7,Eb,Major,3,M3,bach1.3maj,,preludium VII,133,,
Bach,1,bach-1,8,bach1.8,Eb,minor,3,m3,bach1.3min,,preludium VIII,134,,
Bach,1,bach-1,9,bach1.9,E,Major,4,M4,bach1.4maj,,preludium IX,135,,
Bach,1,bach-1,10,bach1.10,E,minor,4,m4,bach1.4min,,preludium X,136,,
Bach,1,bach-1,11,bach1.11,F,Major,5,M5,bach1.5maj,,preludium XI,137,,
Bach,1,bach-1,12,bach1.12,F,minor,5,m5,bach1.5min,,preludium XII,138,,
Bach,1,bach-1,13,bach1.13,F#,Major,6,M6,bach1.6maj,,preludium XIII,139,,
Bach,1,bach-1,14,bach1.14,F#,minor,6,m6,bach1.6min,,preludium XIV,140,,
Bach,1,bach-1,15,bach1.15,G,Major,7,M7,bach1.7maj,,preludium XV,141,,
Bach,1,bach-1,16,bach1.16,G,minor,7,m7,bach1.7min,,preludium XVI,142,,
Bach,1,bach-1,17,bach1.17,Ab,Major,8,M8,bach1.8maj,,preludium XVII,143,,
Bach,1,bach-1,18,bach1.18,G#,minor,8,m8,bach1.8min,,preludium XVIII,144,,
Bach,1,bach-1,19,bach1.19,A,Major,9,M9,bach1.9maj,,preludium XIX,145,,
Bach,1,bach-1,20,bach1.20,A,minor,9,m9,bach1.9min,,preludium XX,146,,
Bach,1,bach-1,21,bach1.21,Bb,Major,10,M10,bach1.10maj,,preludium XXI,147,,
Bach,1,bach-1,22,bach1.22,Bb,minor,10,m10,bach1.10min,,preludium XXII,148,,
Bach,1,bach-1,23,bach1.23,B,Major,11,M11,bach1.11maj,,preludium XXIII,149,,
Bach,1,bach-1,24,bach1.24,B,minor,11,m11,bach1.11min,,preludium XXIV,150,,
Bach,3,bach-3,1,bach3.1,C,Major,0,M0,bach3.0maj,,preludium I,152,,
Bach,3,bach-3,2,bach3.2,C,minor,0,m0,bach3.0min,,preludium II,153,,
Bach,3,bach-3,3,bach3.3,C#,Major,1,M1,bach3.1maj,,preludium III,154,,
Bach,3,bach-3,4,bach3.4,C#,minor,1,m1,bach3.1min,,preludium IV,155,,
Bach,3,bach-3,5,bach3.5,D,Major,2,M2,bach3.2maj,,preludium V,156,,
Bach,3,bach-3,6,bach3.6,D,minor,2,m2,bach3.2min,,preludium VI,157,,
Bach,3,bach-3,7,bach3.7,Eb,Major,3,M3,bach3.3maj,,preludium VII,158,,
Bach,3,bach-3,8,bach3.8,D#,minor,3,m3,bach3.3min,,preludium VIII,159,,
Bach,3,bach-3,9,bach3.9,E,Major,4,M4,bach3.4maj,,preludium IX,160,,
Bach,3,bach-3,10,bach3.10,E,minor,4,m4,bach3.4min,,preludium X,161,,
Bach,3,bach-3,11,bach3.11,F,Major,5,M5,bach3.5maj,,preludium XI,162,,
Bach,3,bach-3,12,bach3.12,F,minor,5,m5,bach3.5min,,preludium XII,163,0.5,
Bach,3,bach-3,13,bach3.13,F#,Major,6,M6,bach3.6maj,,preludium XIII,164,,
Bach,3,bach-3,14,bach3.14,F#,minor,6,m6,bach3.6min,,preludium XIV,165,,
Bach,3,bach-3,15,bach3.15,G,Major,7,M7,bach3.7maj,,preludium XV,166,,
Bach,3,bach-3,16,bach3.16,G,minor,7,m7,bach3.7min,,preludium XVI,167,,
Bach,3,bach-3,17,bach3.17,Ab,Major,8,M8,bach3.8maj,,preludium XVII,168,,
Bach,3,bach-3,18,bach3.18,G#,minor,8,m8,bach3.8min,,preludium XVIII,169,,
Bach,3,bach-3,19,bach3.19,A,Major,9,M9,bach3.9maj,,preludium XIX,170,,
Bach,3,bach-3,20,bach3.20,A,minor,9,m9,bach3.9min,,preludium XX,171,,
Bach,3,bach-3,21,bach3.21,Bb,Major,10,M10,bach3.10maj,,preludium XXI,172,,
Bach,3,bach-3,22,bach3.22,Bb,minor,10,m10,bach3.10min,,preludium XXII,173,,
Bach,3,bach-3,23,bach3.23,B,Major,11,M11,bach3.11maj,,preludium XXIII,174,,
Bach,3,bach-3,24,bach3.24,B,minor,11,m11,bach3.11min,,preludium XXIV,175,,
Chopin,1,chopin-1,1,chopin1.1,C,Major,0,M0,chopin1.0maj,,,177,,
Chopin,1,chopin-1,2,chopin1.2,A,minor,9,m9,chopin1.9min,,,178,,
Chopin,1,chopin-1,3,chopin1.3,G,Major,7,M7,chopin1.7maj,,,179,,
Chopin,1,chopin-1,4,chopin1.4,E,minor,4,m4,chopin1.4min,,,180,0.25,
Chopin,1,chopin-1,5,chopin1.5,D,Major,2,M2,chopin1.2maj,,,181,,
Chopin,1,chopin-1,6,chopin1.6,B,minor,11,m11,chopin1.11min,,,182,,
Chopin,1,chopin-1,7,chopin1.7,A,Major,9,M9,chopin1.9maj,,,183,0.33,
Chopin,1,chopin-1,8,chopin1.8,F#,minor,6,m6,chopin1.6min,,,184,,
Chopin,1,chopin-1,9,chopin1.9,E,Major,4,M4,chopin1.4maj,,,185,,
Chopin,1,chopin-1,10,chopin1.10,C#,minor,1,m1,chopin1.1min,,,186,,
Chopin,1,chopin-1,11,chopin1.11,B,Major,11,M11,chopin1.11maj,,,187,,
Chopin,1,chopin-1,12,chopin1.12,G#,minor,8,m8,chopin1.8min,,,188,,
Chopin,1,chopin-1,13,chopin1.13,F#,Major,6,M6,chopin1.6maj,,,189,,
Chopin,1,chopin-1,14,chopin1.14,Eb,minor,3,m3,chopin1.3min,,,190,,
Chopin,1,chopin-1,15,chopin1.15,Db,Major,1,M1,chopin1.1maj,,,191,,
Chopin,1,chopin-1,16,chopin1.16,Bb,minor,10,m10,chopin1.10min,,,192,,
Chopin,1,chopin-1,17,chopin1.17,Ab,Major,8,M8,chopin1.8maj,,,193,,
Chopin,1,chopin-1,18,chopin1.18,F,minor,5,m5,chopin1.5min,,,194,,
Chopin,1,chopin-1,19,chopin1.19,Eb,Major,3,M3,chopin1.3maj,,,195,0.33,
Chopin,1,chopin-1,20,chopin1.20,C,minor,0,m0,chopin1.0min,,,196,,
Chopin,1,chopin-1,21,chopin1.21,Bb,Major,10,M10,chopin1.10maj,,,197,,
Chopin,1,chopin-1,22,chopin1.22,G,minor,7,m7,chopin1.7min,,,198,,
Chopin,1,chopin-1,23,chopin1.23,F,Major,5,M5,chopin1.5maj,,,199,,
Chopin,1,chopin-1,24,chopin1.24,D,minor,2,m2,chopin1.2min,,,200,,
